role_id	role_name	row_type	parent_menu_id	parent_label	parent_route	parent_required_permissions	parent_permission_coverage	child_menu_id	child_label	child_route	child_required_permissions	child_permission_coverage
2	System Administrator	parent	1001	Dashboard	system_administrator_dashboard	system_view	ok	NULL				
2	System Administrator	parent	1002	Identity & Access			n/a	NULL				
2	System Administrator	child	1002	Identity & Access			n/a	1011	User Accounts	manage_users	users_view	ok
2	System Administrator	child	1002	Identity & Access			n/a	1012	Account Status	account_status		n/a
2	System Administrator	child	1002	Identity & Access			n/a	1013	Role Definitions	role_definitions		n/a
2	System Administrator	child	1002	Identity & Access			n/a	1014	Role-Permission Matrix	role_permission_matrix		n/a
2	System Administrator	child	1002	Identity & Access			n/a	1015	Resource Permissions	resource_based_permissions		n/a
2	System Administrator	parent	1003	Navigation & UI			n/a	NULL				
2	System Administrator	child	1003	Navigation & UI			n/a	1016	Route Registry	route_registry		n/a
2	System Administrator	child	1003	Navigation & UI			n/a	1017	Sidebar Menus	sidebar_menus		n/a
2	System Administrator	child	1003	Navigation & UI			n/a	1018	Dashboard Registry	dashboard_registry		n/a
2	System Administrator	child	1003	Navigation & UI			n/a	1019	Widget Registry	widget_registry		n/a
2	System Administrator	child	1003	Navigation & UI			n/a	1020	Role Navigation	role_navigation_config		n/a
2	System Administrator	parent	1004	Policy & Governance			n/a	NULL				
2	System Administrator	child	1004	Policy & Governance			n/a	1021	Domain Isolation	domain_isolation_rules		n/a
2	System Administrator	child	1004	Policy & Governance			n/a	1022	Time-Bound Access	time_bound_access		n/a
2	System Administrator	child	1004	Policy & Governance			n/a	1023	Route Access Rules	route_access_rules		n/a
2	System Administrator	child	1004	Policy & Governance			n/a	1024	Permission Policies	permission_policies		n/a
2	System Administrator	parent	1005	Security Center			n/a	NULL				
2	System Administrator	child	1005	Security Center			n/a	1025	Authentication Logs	authentication_logs	system_view	ok
2	System Administrator	child	1005	Security Center			n/a	1026	Failed Logins	failed_login_attempts		n/a
2	System Administrator	child	1005	Security Center			n/a	1027	Active Sessions	active_sessions		n/a
2	System Administrator	child	1005	Security Center			n/a	1028	Token Management	token_management		n/a
2	System Administrator	child	1005	Security Center			n/a	1029	IP Whitelist/Blacklist	ip_whitelist_blacklist		n/a
2	System Administrator	parent	1006	Monitoring			n/a	NULL				
2	System Administrator	child	1006	Monitoring			n/a	1030	System Health	system_health	system_view	ok
2	System Administrator	child	1006	Monitoring			n/a	1031	Error Logs	error_logs	system_view	ok
2	System Administrator	child	1006	Monitoring			n/a	1032	Background Jobs	background_jobs		n/a
2	System Administrator	child	1006	Monitoring			n/a	1033	API Metrics	api_metrics		n/a
2	System Administrator	child	1006	Monitoring			n/a	1034	Rate Limiting	rate_limiting_status		n/a
2	System Administrator	parent	1007	Configuration			n/a	NULL				
2	System Administrator	child	1007	Configuration			n/a	1035	System Settings	system_settings	system_view	ok
2	System Administrator	child	1007	Configuration			n/a	1036	Feature Flags	feature_flags		n/a
2	System Administrator	child	1007	Configuration			n/a	1037	Module Enablement	module_enablement		n/a
2	System Administrator	child	1007	Configuration			n/a	1038	Maintenance Mode	maintenance_mode	system_view	ok
2	System Administrator	parent	1008	Data Governance			n/a	NULL				
2	System Administrator	child	1008	Data Governance			n/a	1039	Schema Registry	schema_registry		n/a
2	System Administrator	child	1008	Data Governance			n/a	1040	Migrations	migrations		n/a
2	System Administrator	child	1008	Data Governance			n/a	1041	Backups	backups		n/a
2	System Administrator	child	1008	Data Governance			n/a	1042	Data Retention	data_retention		n/a
2	System Administrator	child	1008	Data Governance			n/a	1043	Data Purge Policies	data_purge_policies		n/a
2	System Administrator	parent	1009	Developer Tools			n/a	NULL				
2	System Administrator	child	1009	Developer Tools			n/a	1044	API Explorer	api_explorer	system_view	ok
2	System Administrator	child	1009	Developer Tools			n/a	1045	Webhook Registry	webhook_registry		n/a
2	System Administrator	child	1009	Developer Tools			n/a	1046	Job Inspector	job_inspector		n/a
2	System Administrator	child	1009	Developer Tools			n/a	1047	System Diagnostics	system_diagnostics		n/a
2	System Administrator	parent	1010	Audit & Forensics			n/a	NULL				
2	System Administrator	child	1010	Audit & Forensics			n/a	1048	Activity Logs	activity_audit_logs	system_view	ok
2	System Administrator	child	1010	Audit & Forensics			n/a	1049	Permission Changes	permission_changes		n/a
2	System Administrator	child	1010	Audit & Forensics			n/a	1050	Policy Violations	policy_violations		n/a
2	System Administrator	child	1010	Audit & Forensics			n/a	1051	Security Incidents	security_incidents		n/a
3	Director	parent	100	Dashboard	director_owner_dashboard	finance_view, reports_view	ok	NULL				
3	Director	parent	200	Finance	manage_finance	finance_view	ok	NULL				
3	Director	child	200	Finance	manage_finance	finance_view	ok	203	Approvals	finance_approvals	finance_view	ok
3	Director	child	200	Finance	manage_finance	finance_view	ok	202	Budget Overview	budget_overview	finance_view	ok
3	Director	child	200	Finance	manage_finance	finance_view	ok	201	Financial Reports	finance_reports	finance_view	ok
3	Director	child	200	Finance	manage_finance	finance_view	ok	1055	Student Fees	manage_fees	finance_view	ok
3	Director	child	200	Finance	manage_finance	finance_view	ok	1056	Fee Structure	manage_fees	finance_view	ok
3	Director	child	200	Finance	manage_finance	finance_view	ok	1057	Payment Reports	manage_payments	finance_view	ok
3	Director	child	200	Finance	manage_finance	finance_view	ok	1058	M-Pesa Reports	finance_reports	finance_view	ok
3	Director	child	200	Finance	manage_finance	finance_view	ok	1059	Bank Reports	finance_reports	finance_view	ok
3	Director	parent	204	Reports	financial_reports	reports_view	ok	NULL				
3	Director	child	204	Reports	financial_reports	reports_view	ok	206	Enrollment	enrollment_reports	reports_view	ok
3	Director	child	204	Reports	financial_reports	reports_view	ok	205	Financial	financial_reports	reports_view	ok
3	Director	child	204	Reports	financial_reports	reports_view	ok	207	Performance	performance_reports		n/a
3	Director	parent	250	Students	manage_students	students_view	ok	NULL				
3	Director	child	250	Students	manage_students	students_view	ok	251	All Students	manage_students	students_view	ok
3	Director	child	250	Students	manage_students	students_view	ok	252	Admissions	manage_students_admissions	admission_view	ok
3	Director	child	250	Students	manage_students	students_view	ok	253	Attendance	mark_attendance	attendance_view	ok
3	Director	child	250	Students	manage_students	students_view	ok	1062	Discipline	student_discipline		n/a
3	Director	child	250	Students	manage_students	students_view	ok	1063	Counseling	student_counseling	chapel_view	ok
3	Director	child	250	Students	manage_students	students_view	ok	1064	Performance	student_performance	academic_view	ok
3	Director	parent	300	Academic	manage_academics	academic_view	ok	NULL				
3	Director	child	300	Academic	manage_academics	academic_view	ok	302	Classes	manage_classes	academic_view	ok
3	Director	child	300	Academic	manage_academics	academic_view	ok	303	Timetable	manage_timetable	schedules_view	ok
3	Director	child	300	Academic	manage_academics	academic_view	ok	304	Results	view_results	academic_view	ok
3	Director	child	300	Academic	manage_academics	academic_view	ok	301	Manage Academics	manage_academics	academic_view	ok
3	Director	parent	150	Communications	manage_communications	communications_view	ok	NULL				
3	Director	child	150	Communications	manage_communications	communications_view	ok	151	Messages	manage_communications	communications_view	ok
3	Director	child	150	Communications	manage_communications	communications_view	ok	1052	Announcements	manage_announcements	communications_view	ok
3	Director	child	150	Communications	manage_communications	communications_view	ok	1053	SMS Messages	manage_sms	communications_view	ok
3	Director	child	150	Communications	manage_communications	communications_view	ok	1054	Emails	manage_email	communications_view	ok
3	Director	parent	555	Payroll	manage_payrolls	finance_view	ok	NULL				
3	Director	child	555	Payroll	manage_payrolls	finance_view	ok	556	Staff Payroll	payroll	finance_view	ok
3	Director	child	555	Payroll	manage_payrolls	finance_view	ok	557	Manage Payroll	manage_payrolls	finance_view	ok
3	Director	child	555	Payroll	manage_payrolls	finance_view	ok	1065	Payroll Processing	manage_payrolls	finance_view	ok
3	Director	child	555	Payroll	manage_payrolls	finance_view	ok	1066	Salary Slips	manage_payrolls	finance_view	ok
3	Director	parent	258	Staff	manage_staff	staff_view	ok	NULL				
3	Director	child	258	Staff	manage_staff	staff_view	ok	259	All Staff	manage_staff	staff_view	ok
3	Director	child	258	Staff	manage_staff	staff_view	ok	260	Attendance	staff_attendance	attendance_view	ok
3	Director	parent	600	Inventory	manage_inventory	inventory_view	ok	NULL				
3	Director	child	600	Inventory	manage_inventory	inventory_view	ok	601	Manage Inventory	manage_inventory	inventory_view	ok
3	Director	child	600	Inventory	manage_inventory	inventory_view	ok	602	Stock Management	manage_stock	inventory_view	ok
3	Director	child	600	Inventory	manage_inventory	inventory_view	ok	603	Requisitions	manage_requisitions	inventory_view	ok
3	Director	child	600	Inventory	manage_inventory	inventory_view	ok	1060	Uniform Sales	manage_uniform_sales		n/a
3	Director	parent	904	Attendance	mark_attendance	attendance_view	ok	NULL				
3	Director	child	904	Attendance	mark_attendance	attendance_view	ok	905	Mark Attendance	mark_attendance	attendance_view	ok
3	Director	child	904	Attendance	mark_attendance	attendance_view	ok	906	View Attendance	view_attendance	attendance_view	ok
3	Director	child	904	Attendance	mark_attendance	attendance_view	ok	1332	Staff Attendance	staff_attendance	attendance_view	ok
3	Director	parent	800	Transport	manage_transport		n/a	NULL				
3	Director	child	800	Transport	manage_transport		n/a	801	My Routes	my_routes	transport_view	ok
3	Director	child	800	Transport	manage_transport		n/a	802	My Vehicle	my_vehicle	transport_view	ok
3	Director	child	800	Transport	manage_transport		n/a	1061	Transportation Fees	manage_transport		n/a
3	Director	parent	750	Activities	manage_activities	activities_view	ok	NULL				
3	Director	child	750	Activities	manage_activities	activities_view	ok	751	Manage Activities	manage_activities	activities_view	ok
3	Director	parent	700	Boarding	manage_boarding	boarding_view	ok	NULL				
3	Director	child	700	Boarding	manage_boarding	boarding_view	ok	701	Manage Boarding	manage_boarding	boarding_view	ok
3	Director	child	700	Boarding	manage_boarding	boarding_view	ok	1329	Roll Call	boarding_roll_call		n/a
3	Director	child	700	Boarding	manage_boarding	boarding_view	ok	1330	Permissions & Exeats	permissions_exeats		n/a
3	Director	child	700	Boarding	manage_boarding	boarding_view	ok	1331	Dormitory Management	dormitory_management		n/a
4	School Administrator	parent	101	Dashboard	school_administrative_officer_dashboard	academic_view, staff_view	ok	NULL				
4	School Administrator	parent	250	Students	manage_students	students_view	ok	NULL				
4	School Administrator	child	250	Students	manage_students	students_view	ok	251	All Students	manage_students	students_view	ok
4	School Administrator	child	250	Students	manage_students	students_view	ok	252	Admissions	manage_students_admissions	admission_view	ok
4	School Administrator	child	250	Students	manage_students	students_view	ok	253	Attendance	mark_attendance	attendance_view	ok
4	School Administrator	child	250	Students	manage_students	students_view	ok	266	Enrollment			n/a
4	School Administrator	child	250	Students	manage_students	students_view	ok	267	Student Reports			n/a
4	School Administrator	child	250	Students	manage_students	students_view	ok	268	ID Cards			n/a
4	School Administrator	child	250	Students	manage_students	students_view	ok	269	Family Groups			n/a
4	School Administrator	parent	254	Academic			n/a	NULL				
4	School Administrator	child	254	Academic			n/a	255	Classes	manage_classes	academic_view	ok
4	School Administrator	child	254	Academic			n/a	256	Timetable	manage_timetable	schedules_view	ok
4	School Administrator	child	254	Academic			n/a	257	Results	view_results	academic_view	ok
4	School Administrator	child	254	Academic			n/a	270	Subjects			n/a
4	School Administrator	child	254	Academic			n/a	271	Assessments			n/a
4	School Administrator	parent	258	Staff	manage_staff	staff_view	ok	NULL				
4	School Administrator	child	258	Staff	manage_staff	staff_view	ok	259	All Staff	manage_staff	staff_view	ok
4	School Administrator	child	258	Staff	manage_staff	staff_view	ok	260	Attendance	staff_attendance	attendance_view	ok
4	School Administrator	child	258	Staff	manage_staff	staff_view	ok	272	Teachers			n/a
4	School Administrator	child	258	Staff	manage_staff	staff_view	ok	273	Non-Teaching Staff			n/a
4	School Administrator	child	258	Staff	manage_staff	staff_view	ok	274	Staff Leaves			n/a
4	School Administrator	parent	150	Communications	manage_communications	communications_view	ok	NULL				
4	School Administrator	child	150	Communications	manage_communications	communications_view	ok	151	Messages	manage_communications	communications_view	ok
4	School Administrator	child	150	Communications	manage_communications	communications_view	ok	1052	Announcements	manage_announcements	communications_view	ok
4	School Administrator	child	150	Communications	manage_communications	communications_view	ok	275	SMS			n/a
4	School Administrator	child	150	Communications	manage_communications	communications_view	ok	276	Email			n/a
4	School Administrator	parent	263	Activities			n/a	NULL				
4	School Administrator	child	263	Activities			n/a	277	All Activities			n/a
4	School Administrator	child	263	Activities			n/a	278	Clubs & Societies			n/a
4	School Administrator	child	263	Activities			n/a	279	Sports			n/a
4	School Administrator	parent	265	Calendar & Events			n/a	NULL				
4	School Administrator	child	265	Calendar & Events			n/a	280	School Events			n/a
4	School Administrator	child	265	Calendar & Events			n/a	281	Daily Schedule			n/a
4	School Administrator	parent	264	Reports			n/a	NULL				
4	School Administrator	child	264	Reports			n/a	282	Attendance Reports			n/a
4	School Administrator	child	264	Reports			n/a	283	Enrollment Statistics			n/a
4	School Administrator	child	264	Reports			n/a	284	Staff Reports			n/a
4	School Administrator	parent	261	Users			n/a	NULL				
4	School Administrator	child	261	Users			n/a	262	Manage Users	manage_users	users_view	ok
5	Headteacher	parent	102	Dashboard	headteacher_dashboard	academic_view	ok	NULL				
5	Headteacher	parent	300	Academic	manage_academics	academic_view	ok	NULL				
5	Headteacher	child	300	Academic	manage_academics	academic_view	ok	335	Academic Years	academic_years		n/a
5	Headteacher	child	300	Academic	manage_academics	academic_view	ok	1070	Learning Areas	learning_areas		n/a
5	Headteacher	child	300	Academic	manage_academics	academic_view	ok	340	Lesson Plans	manage_lesson_plans	academic_view	ok
5	Headteacher	child	300	Academic	manage_academics	academic_view	ok	350	Timetable	manage_timetable	schedules_view	ok
5	Headteacher	child	300	Academic	manage_academics	academic_view	ok	360	Academic Calendar	academic_calendar		n/a
5	Headteacher	child	300	Academic	manage_academics	academic_view	ok	384	Assessments & Exams	assessments_exams		n/a
5	Headteacher	child	300	Academic	manage_academics	academic_view	ok	304	Results	view_results	academic_view	ok
5	Headteacher	child	300	Academic	manage_academics	academic_view	ok	301	Manage Academics	manage_academics	academic_view	ok
5	Headteacher	parent	1086	Classes	manage_classes	academic_view	ok	NULL				
5	Headteacher	child	1086	Classes	manage_classes	academic_view	ok	1087	All Classes	all_classes		n/a
5	Headteacher	child	1086	Classes	manage_classes	academic_view	ok	1088	Streams	class_streams		n/a
5	Headteacher	child	1086	Classes	manage_classes	academic_view	ok	1089	Class Capacity	class_capacity		n/a
5	Headteacher	child	1086	Classes	manage_classes	academic_view	ok	1090	Promotion/Progression	student_promotion		n/a
5	Headteacher	parent	305	Students	manage_students	students_view	ok	NULL				
5	Headteacher	child	305	Students	manage_students	students_view	ok	306	All Students	all_students		n/a
5	Headteacher	child	305	Students	manage_students	students_view	ok	308	Performance	student_performance	academic_view	ok
5	Headteacher	parent	309	Staff	manage_staff	staff_view	ok	NULL				
5	Headteacher	child	309	Staff	manage_staff	staff_view	ok	310	All Staff	all_staff		n/a
5	Headteacher	child	309	Staff	manage_staff	staff_view	ok	311	Performance	staff_performance_overview		n/a
5	Headteacher	child	309	Staff	manage_staff	staff_view	ok	1075	Manage Teachers	all_teachers		n/a
5	Headteacher	parent	1081	Parents	all_parents		n/a	NULL				
5	Headteacher	child	1081	Parents	all_parents		n/a	1082	All Parents/Guardians	all_parents		n/a
5	Headteacher	child	1081	Parents	all_parents		n/a	1083	Parent Meetings	parent_meetings		n/a
5	Headteacher	child	1081	Parents	all_parents		n/a	1084	Feedback	parent_feedback		n/a
5	Headteacher	child	1081	Parents	all_parents		n/a	1085	PTA Management	pta_management		n/a
5	Headteacher	parent	363	Admissions	manage_students_admissions	admission_view	ok	NULL				
5	Headteacher	child	363	Admissions	manage_students_admissions	admission_view	ok	364	New Applications	new_applications		n/a
5	Headteacher	child	363	Admissions	manage_students_admissions	admission_view	ok	365	Admission Status	admission_status		n/a
5	Headteacher	parent	904	Attendance	mark_attendance	attendance_view	ok	NULL				
5	Headteacher	child	904	Attendance	mark_attendance	attendance_view	ok	905	Mark Attendance	mark_attendance	attendance_view	ok
5	Headteacher	child	904	Attendance	mark_attendance	attendance_view	ok	906	View Attendance	view_attendance	attendance_view	ok
5	Headteacher	child	904	Attendance	mark_attendance	attendance_view	ok	1332	Staff Attendance	staff_attendance	attendance_view	ok
5	Headteacher	parent	312	Discipline	student_discipline		n/a	NULL				
5	Headteacher	child	312	Discipline	student_discipline		n/a	313	Discipline Cases	discipline_cases		n/a
5	Headteacher	child	312	Discipline	student_discipline		n/a	314	Conduct Reports	conduct_reports		n/a
5	Headteacher	parent	700	Boarding	manage_boarding	boarding_view	ok	NULL				
5	Headteacher	child	700	Boarding	manage_boarding	boarding_view	ok	701	Manage Boarding	manage_boarding	boarding_view	ok
5	Headteacher	child	700	Boarding	manage_boarding	boarding_view	ok	1329	Roll Call	boarding_roll_call		n/a
5	Headteacher	child	700	Boarding	manage_boarding	boarding_view	ok	1330	Permissions & Exeats	permissions_exeats		n/a
5	Headteacher	child	700	Boarding	manage_boarding	boarding_view	ok	1331	Dormitory Management	dormitory_management		n/a
5	Headteacher	parent	378	Activities	manage_activities	activities_view	ok	NULL				
5	Headteacher	child	378	Activities	manage_activities	activities_view	ok	379	Clubs & Societies	clubs_societies		n/a
5	Headteacher	child	378	Activities	manage_activities	activities_view	ok	380	Sports	sports		n/a
5	Headteacher	child	378	Activities	manage_activities	activities_view	ok	381	Competitions	competitions		n/a
5	Headteacher	child	378	Activities	manage_activities	activities_view	ok	382	School Events	school_events		n/a
5	Headteacher	child	378	Activities	manage_activities	activities_view	ok	383	Assemblies	assemblies		n/a
5	Headteacher	parent	374	Fee Balances	manage_fees	finance_view	ok	NULL				
5	Headteacher	child	374	Fee Balances	manage_fees	finance_view	ok	375	Students with Balance	students_with_balance		n/a
